checklist_number,title,category,items_count,format,key_topics
1,LLC Formation Checklist,Business Formation,30+,PDF + Google Docs,"Name search, articles of organization, EIN, operating agreement, bank account, licenses"
2,Corporation Formation Checklist,Business Formation,25+,PDF + Google Docs,"Articles of incorporation, bylaws, stock issuance, S-Corp election, organizational meeting"
3,Business License & Permit Checklist,Business Formation,20+,PDF + Google Docs,"Federal, state, local licenses, zoning, specialty permits, renewal tracking"
4,Federal Tax Obligations Checklist,Financial & Tax,30+,PDF + Google Docs,"EIN, estimated taxes, payroll, 1099s, W-2s, deductions, record keeping"
5,State Tax Obligations Guide,Financial & Tax,25+,PDF + Google Docs,"Income tax, sales tax, nexus, franchise tax, unemployment insurance"
6,Bookkeeping & Financial Records,Financial & Tax,25+,PDF + Google Docs,"System setup, daily/monthly/annual tasks, record retention periods"
7,Business Insurance Checklist,Insurance & Risk,20+,PDF + Google Docs,"GL, E&O, workers comp, cyber, BOP, industry-specific, annual review"
8,Risk Assessment Checklist,Insurance & Risk,25+,PDF + Google Docs,"Operational, financial, legal, cyber, reputation risks, risk register"
9,Employment Law Compliance,Employment & HR,35+,PDF + Google Docs,"Hiring, wage & hour, postings, anti-discrimination, leave, termination"
10,Workplace Safety (OSHA),Employment & HR,25+,PDF + Google Docs,"OSHA poster, 300 log, emergency plan, training, HazCom, PPE"
11,Employee Handbook Essentials,Employment & HR,30+,PDF + Google Docs,"30+ policies, at-will disclaimer, conduct, technology, discipline"
12,Data Privacy Compliance,Digital & Data,25+,PDF + Google Docs,"CCPA, GDPR, CAN-SPAM, breach response, PCI-DSS, consent"
13,Website Legal Compliance,Digital & Data,30+,PDF + Google Docs,"ADA/WCAG, privacy policy, terms of service, cookies, e-commerce, COPPA"
14,Annual Compliance Calendar,Ongoing Operations,50+,PDF + Google Docs,"Month-by-month deadlines, monthly/quarterly recurring tasks"
15,Business Compliance Self-Audit,Ongoing Operations,35+,PDF + Google Docs,"Quarterly audit tool, compliance tracking, action items, scoring"
